Date,Shop / Brand,Where found,Product to pitch,Contacted? (Y/N),Free sample sent?,Reply?,Ordered?,$ earned,Next step / notes
,,Etsy,,,,,,,
,,Etsy,,,,,,,
,,Etsy,,,,,,,
,,Instagram,,,,,,,
,,Instagram,,,,,,,
,,Meta Ad Library,,,,,,,
,,Meta Ad Library,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
